start,end,duration,startyr,endyr,midyr,midwateryr,endwateryr,group,tmin,dew,end.humid,end.wind,end.tempmin,end.water,water.mean,end.perim,mid.perim
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,CH,15.03333333,-7.6,15.5,11.1,24.6,76.11985346,78.14829935,17.29166667,17.29166667
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,MA,15.03333333,-7.6,15.5,11.1,24.6,100,100,7.461538462,7.461538462
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,RN,15.03333333,-7.6,15.5,11.1,24.6,92.18250457,92.18250457,6.388888889,6.388888889
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,WHL,15.76666667,-7.033333333,15.5,11.1,24.6,50.70223947,52.3239627,7.607142857,7.607142857
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,WHM,15.76666667,-7.033333333,15.5,11.1,24.6,36.6487251,37.94319547,7.782608696,7.782608696
5/21/2013,5/23/2013,2,2013,2013,2013,2013,2013,WHU,15.76666667,-7.033333333,15.5,11.1,24.6,58.44550352,59.15824281,5.868421053,5.868421053
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,CH,14.975,-6.85,32.5,5.7,24.7,62.70450662,69.26522234,17.29166667,17.29166667
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,MA,14.975,-6.85,32.5,5.7,24.7,100,100,7.461538462,7.461538462
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,RN,14.975,-6.85,32.5,5.7,24.7,92.18250457,92.18250457,6.388888889,6.388888889
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,WHL,15.9625,-6.175,32.5,5.7,24.7,40.48102378,45.23824196,7.607142857,7.607142857
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,WHM,15.9625,-6.175,32.5,5.7,24.7,27.58743252,32.11807881,7.782608696,7.782608696
5/23/2013,5/30/2013,7,2013,2013,2013,2013,2013,WHU,15.9625,-6.175,32.5,5.7,24.7,53.97941602,56.21245977,5.868421053,5.868421053
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,CH,15.5,1.7,34,4.1,25.6,60.87200434,61.78825548,17.29166667,17.29166667
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,MA,15.5,1.7,34,4.1,25.6,100,100,7.461538462,7.461538462
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,RN,15.5,1.7,34,4.1,25.6,92.18250457,92.18250457,6.388888889,6.388888889
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,WHL,17.05,2.5,34,4.1,25.6,39.424724,39.95287389,7.607142857,7.607142857
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,WHM,17.05,2.5,34,4.1,25.6,26.817587,27.20250976,7.782608696,7.782608696
5/30/2013,5/31/2013,1,2013,2013,2013,2013,2013,WHU,17.05,2.5,34,4.1,25.6,53.34140352,53.66040977,5.868421053,5.868421053
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,CH,18.18,0.02,26,7,27.75,53.10867824,57.03367298,17.29166667,17.29166667
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,MA,18.18,0.02,26,7,27.75,100,100,7.461538462,7.461538462
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,RN,18.18,0.02,26,7,27.75,92.18250457,92.18250457,6.388888889,6.388888889
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,WHL,19.2,0.52,26,7,27.75,35.1995249,37.31212445,7.607142857,7.607142857
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,WHM,19.2,0.52,26,7,27.75,23.73820489,25.27789594,7.782608696,7.782608696
5/31/2013,6/4/2013,4,2013,2013,2013,2013,2013,WHU,19.2,0.52,26,7,27.75,49.82198544,51.58169448,5.868421053,5.868421053
